Date,Title,URL,md_file,ESG_or_not,Story_Type
2026-05-29,Commission welcomes ENTSO-E report confirming EU electricity preparedness for summer,https://energy.ec.europa.eu/news/commission-welcomes-entso-e-report-confirming-eu-electricity-preparedness-summer-2026-05-29_en,34.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Commission discusses gas and oil supply risks with EU countries as the conflict in the Middle East reaches a 3-month mark,https://energy.ec.europa.eu/news/commission-discusses-gas-and-oil-supply-risks-eu-countries-conflict-middle-east-reaches-3-month-mark-2026-05-28_en,35.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-27,New EU Task Force on Fusion Energy,https://energy.ec.europa.eu/news/new-eu-task-force-fusion-energy-2026-05-27_en,36.md,Yes,Legislative and Statutory Developments
2026-05-29,Pillar 2 Global Minimum Tax Directive: New FAQ available,https://taxation-customs.ec.europa.eu/news/pillar-2-global-minimum-tax-directive-new-faq-available-2026-05-29_en,37.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-26,Committees bringing law to life for uni students,https://www.parliament.vic.gov.au/news/general-news/unilawprog,38.md,No,
2026-05-30,Consultation opens on impact of EPBC Act changes on key Queensland industries,https://statements.qld.gov.au/statements/105192,39.md,Yes,Consultation and Policy Design Opportunities
2026-05-29,"Crisafulli Government fast-tracks more than 5,000 homes for South East Queensland",https://statements.qld.gov.au/statements/105184,40.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,Small-scale miners strike it rich with expanded opportunities in Central West Queensland,https://statements.qld.gov.au/statements/105183,41.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,New bridge to strengthen Richmond flood resilience,https://statements.qld.gov.au/statements/105180,42.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,New Capricorn Business Hub to deliver for Rockhampton small businesses,https://statements.qld.gov.au/statements/105178,43.md,No,
2026-05-28,Crisafulli Government delivers 109 new police officers to frontline to make Queensland safer,https://statements.qld.gov.au/statements/105172,44.md,No,
2026-05-28,Crisafulli Government driving new ecotourism opportunities at world-class Eungella National Park,https://statements.qld.gov.au/statements/105170,45.md,Yes,Funding and Grant Announcements
2026-05-28,Crisafulli Government helps tackle crime for small and family businesses,https://statements.qld.gov.au/statements/105174,46.md,Yes,Funding and Grant Announcements
2026-05-28,"Crisafulli Government’s State Flying Squad marks 150 deployments with more than 2,500 arrests",https://statements.qld.gov.au/statements/105171,47.md,No,
2026-05-28,Rockhampton secures new Youth Foyer in a big win for Central Queensland,https://statements.qld.gov.au/statements/105173,48.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,Key Far North Queensland freight route returned to pre-disaster function,https://statements.qld.gov.au/statements/105163,49.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,Crisafulli Government delivers safety boost for Western Downs,https://statements.qld.gov.au/statements/105160,50.md,Yes,Funding and Grant Announcements
2026-05-26,"Critical Minerals and Gold guide available in Japanese, Korean and Indonesian","https://resourcingtheterritory.nt.gov.au/news-and-events/news/2026/critical-minerals-and-gold-guide-available-in-japanese,-korean-and-indonesian",51.md,No,
2026-05-29,New energy projects to underpin South Australia's capacity ...,https://www.energymining.sa.gov.au/home/news/latest/new-energy-projects-to-underpin-south-australias-capacity,52.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-25,Agenda and minutes of the 122nd IESC Meeting,https://www.iesc.gov.au/resource/agenda-and-minutes-122nd-iesc-meeting,53.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Update on Interprac complaints,https://www.afca.org.au/news/latest-news/update-on-interprac-complaints,54.md,No,
2026-05-26,AFCA publishes details of expelled members,https://www.afca.org.au/news/latest-news/afca-publishes-details-of-expelled-members-0,55.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-25,Paul Woodburn appointed as Lead Ombudsman Superannuation,https://www.afca.org.au/news/latest-news/paul-woodburn-appointed-lead-ombudsman-superannuation,56.md,No,
2026-05-29,Backing India's climate innovators: How GCF equity is powering the next generation of climate startups,https://www.greenclimate.fund/story/backing-indias-climate-innovators-how-gcf-equity-powering-next-generation-climate-startups,57.md,Yes,Corporate and Institutional ESG Actions
2026-05-25,From climate ambition to action: GCF and GGGI emphasise partnerships and institutional capacity,https://www.greenclimate.fund/news/climate-ambition-action-gcf-and-gggi-emphasise-partnerships-and-institutional-capacity,58.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-29,"Hydrometallurgical Processing for Nickel and Cobalt Ores, Concentrates, Tailings, Wastes – Stage 2 (FBI CRC Project No. 029)",https://www.mriwa.wa.gov.au/news-and-events/hydrometallurgical-processing-for-nickel-and-cobalt-ores-concentrates-tailings-wastes-stage-2-fbi-crc-project-no-029/,59.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-27,Delivering seismic imaging within the exploration workflow,https://www.mriwa.wa.gov.au/news-and-events/delivering-seismic-imaging-within-the-exploration-workflow/,60.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,Blog Driven by nature: Meet Sarah,https://www2.gbrmpa.gov.au/news/driven-nature-meet-sarah,61.md,Yes,Misc
2026-05-28,Climate change Turtle egg relocation provides future population hope,https://www2.gbrmpa.gov.au/news/turtle-egg-relocation-provides-future-population-hope,62.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-27,Blog All in for National Reconciliation Week,https://www2.gbrmpa.gov.au/news/all-national-reconciliation-week,63.md,Yes,"Community, First Nations, and Social Licence Initiatives"
2026-05-25,"Rangelands, Resilience, and the Women at the Center",https://www.unccd.int/news-stories/stories/rangelands-resilience-and-women-center,64.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-28,Transport costs drives fall in household spending,https://www.abs.gov.au/media-centre/media-releases/transport-costs-drives-fall-household-spending,65.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Data centre investment drives new capital expenditure,https://www.abs.gov.au/media-centre/media-releases/data-centre-investment-drives-new-capital-expenditure,66.md,No,
2026-05-27,CPI rose 4.2% in the year to April 2026,https://www.abs.gov.au/media-centre/media-releases/cpi-rose-42-year-april-2026,67.md,No,
2026-05-26,Fuel costs and shortages put pressure on 72% of Australian businesses,https://www.abs.gov.au/media-centre/media-releases/fuel-costs-and-shortages-put-pressure-72-australian-businesses,68.md,No,
2026-05-26,7 new insights into the Great Barrier Reef Region,https://www.abs.gov.au/media-centre/media-releases/7-new-insights-great-barrier-reef-region,69.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,Solar Homes Program continuing to provide targeted assistance,https://www.solar.vic.gov.au/solar-homes-program-continuing-provide-targeted-assistance,70.md,Yes,Funding and Grant Announcements
2026-05-28,"Solar Victoria hits 500,000 approvals",https://www.solar.vic.gov.au/solar-victoria-hits-500000-approvals,71.md,Yes,Funding and Grant Announcements
2026-05-26,Stronger safety and cyber security protections under Solar Homes,https://www.solar.vic.gov.au/stronger-safety-and-cyber-security-protections-under-solar-homes,72.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,$12 million unlocked to deliver infrastructure in regional communities,https://www.planning.nsw.gov.au/news/12-million-unlocked-to-deliver-infrastructure-in-regional-communities,73.md,Yes,Funding and Grant Announcements
2026-05-28,What is Indigenous Cultural Intellectual Property: An explainer,https://www.ansto.gov.au/news/what-indigenous-cultural-intellectual-property-an-explainer,74.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,Global labour markets cool but hold steady,https://www.jobsandskills.gov.au/news/global-labour-markets-cool-hold-steady,75.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,Rising costs and fuel disruptions shift employer sentiment in early 2026,https://www.jobsandskills.gov.au/news/rising-costs-and-fuel-disruptions-shift-employer-sentiment-early-2026,76.md,No,
2026-05-28,Professor Barney Glover departs Jobs and Skills Australia,https://www.jobsandskills.gov.au/news/professor-barney-glover-departs-jobs-and-skills-australia,77.md,No,
2026-05-27,New data reveals a fuller picture of hiring across Australia,https://www.jobsandskills.gov.au/news/new-data-reveals-fuller-picture-hiring-across-australia,CLEANED,NO FILE,
2026-05-29,APRA imposes additional licence conditions on HTFS Nominees Pty Limited,https://www.apra.gov.au/news-and-publications/apra-imposes-additional-licence-conditions-on-htfs-nominees-pty-limited,79.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-29,APRA releases Monthly Authorised Deposit-taking Institution Statistics for April 2026,https://www.apra.gov.au/news-and-publications/apra-releases-monthly-authorised-deposit-taking-institution-statistics-for-72,80.md,No,
2026-05-29,APRA releases quarterly insurance statistics for March 2026,https://www.apra.gov.au/news-and-publications/apra-releases-quarterly-insurance-statistics-for-march-2026,81.md,No,
2026-05-28,APRA maintains current macroprudential policy settings in highly uncertain environment,https://www.apra.gov.au/news-and-publications/apra-maintains-current-macroprudential-policy-settings-highly-uncertain,82.md,No,
2026-05-28,APRA releases superannuation statistics for March 2026,https://www.apra.gov.au/news-and-publications/apra-releases-superannuation-statistics-for-march-2026,83.md,No,
2026-05-27,APRA publishes Jane Magill's remarks to the 2026 All Actuaries Summit,https://www.apra.gov.au/news-and-publications/apra-publishes-jane-magills-remarks-to-2026-all-actuaries-summit,84.md,Yes,Corporate and Institutional ESG Actions
2026-05-27,APRA formalises three-tiered approach to proportionality in banking prudential framework,https://www.apra.gov.au/news-and-publications/apra-formalises-three-tiered-approach-to-proportionality-banking-prudential,85.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-29,"Delivering healthier, affordable food in regional communities","https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Delivering-healthier,-affordable-food-in-regional-communities-20260529",86.md,Yes,Funding and Grant Announcements
2026-05-29,Labor Government maintains strong financial performance,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Labor-Government-maintains-strong-financial-performance-20260529,87.md,No,
2026-05-29,Waterwise program garners national accolade for excellence,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Waterwise-program-garners-national-accolade-for-excellence-20260529,88.md,Yes,Corporate and Institutional ESG Actions
2026-05-29,Cook Labor Government and Minderoo Foundation investing in Early Years Partnership,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-and-Minderoo-Foundation-investing-in-Early-Years-Partnership-20260529,89.md,Yes,Funding and Grant Announcements
2026-05-29,Mitchell Freeway safety cameras operational from 1 June,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Mitchell-Freeway-safety-cameras-operational-from-1-June-20260529,90.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,New funding to stop family and domestic violence before it starts,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-funding-to-stop-family-and-domestic-violence-before-it-starts-20260529,91.md,Yes,Funding and Grant Announcements
2026-05-29,Ocean Reef Marina community facilities now operational,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Ocean-Reef-Marina-community-facilities-now-operational-20260529,92.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,Major redevelopment for Wanneroo Districts Rugby Union Club backed in,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Major-redevelopment-for-Wanneroo-Districts-Rugby-Union-Club-backed-in-20260529,93.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,"Moody's reaffirms Western Australia's triple-A credit rating, reflecting strong financial management","https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Moody's-reaffirms-Western-Australia's-triple-A-credit-rating,-reflecting-strong-financial-management-20260528",94.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Music and mental health take centre stage with WAM,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Music-and-mental-health-take-centre-stage-with-WAM-20260528,95.md,Yes,Funding and Grant Announcements
2026-05-28,New round of funding to upgrade off-road vehicle areas in WA,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-round-of-funding-to-upgrade-off-road-vehicle-areas-in-WA-20260528,96.md,Yes,Funding and Grant Announcements
2026-05-28,New appointees to take seat at SWDC Board table,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-appointees-to-take-seat-at-SWDC-Board-table-20260528,97.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-28,WA's world-leading resources sector continues to drive economy,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/WA's-world-leading-resources-sector-continues-to-drive-economy-20260528,98.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Future of Mount Hospital secured for patients and staff,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Future-of-Mount-Hospital-secured-for-patients-and-staff-20260528,99.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,Wildcats partnership a slam dunk for WA defence industry,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Wildcats-partnership-a-slam-dunk-for-WA-defence-industry-20260528,100.md,Yes,Corporate and Institutional ESG Actions
2026-05-28,Educators armed to inspire WA's future defence workforce,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Educators-armed-to-inspire-WA's-future-defence-workforce-20260528,101.md,Yes,State and Local Government Programs
2026-05-28,New training hub to shape future of public education in WA,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-training-hub-to-shape-future-of-public-education-in-WA-20260528,102.md,Yes,Funding and Grant Announcements
2026-05-28,WA petroleum acreage release nominations now open,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/WA-petroleum-acreage-release-nominations-now-open-20260527,103.md,Yes,Consultation and Policy Design Opportunities
2026-05-27,First residential lots for sale at the former Beaconsfield TAFE,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/First-residential-lots-for-sale-at-the-former-Beaconsfield-TAFE-20260527,104.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,New training and guidance to strengthen local design review,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-training-and-guidance-to-strengthen-local-design-review--20260527,105.md,No,
2026-05-29,Register for our HSR Forum or recognise a worthy HSR,https://www.nopsema.gov.au/blogs/register-our-hsr-forum-or-recognise-worthy-hsr,106.md,Yes,Misc
2026-05-28,How NOPSEMA investigates – and why it matters,https://www.nopsema.gov.au/blogs/how-nopsema-investigates-and-why-it-matters,CLEANED,NO FILE,
2026-05-29,Parks Australia prepares for H5 bird flu,https://www.dcceew.gov.au/about/news/parks-australia-prepares-for-h5-bird-flu,108.md,Yes,Funding and Grant Announcements
2026-05-29,Protecting Basin wetlands from climate change,https://www.dcceew.gov.au/about/news/protecting-basin-wetlands-from-climate-change,109.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,National Greenhouse Gas Inventory: December 2025,https://www.dcceew.gov.au/about/news/australias-greenhouse-gas-emissions-dec-2025-quarterly-update,110.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Latest Default Market Offer has free power option,https://www.dcceew.gov.au/about/news/latest-default-market-offer-free-power-option,111.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Nature Repair Market gains momentum,https://www.dcceew.gov.au/about/news/nature-repair-market-gains-momentum,112.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
>>>>>>> 7bac5f0 (update pipeline)
2026-05-27,Register your interest to host public electric vehicle chargers,https://www.dcceew.gov.au/about/news/register-your-interest-host-public-electric-vehicle-chargers,113.md,Yes,Funding and Grant Announcements
2026-05-27,Australia and Türkiye issue joint letter to Parties ahead of COP31,https://www.dcceew.gov.au/about/news/australia-turkiye-issue-joint-letter-parties-ahead-cop31,114.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-26,Have your say: Domestic Gas Reservation Scheme,https://www.dcceew.gov.au/about/news/have-your-say-domestic-gas-reservation-scheme,115.md,Yes,Consultation and Policy Design Opportunities
2026-05-26,Bioregional planning for the regions in Queensland,https://www.dcceew.gov.au/about/news/bioregional-planning-for-qld-regions,116.md,Yes,Consultation and Policy Design Opportunities
2026-05-25,Joint readout between Minister van Veldhoven and Minister Bowen,https://www.dcceew.gov.au/about/news/joint-readout-between-minister-van-veldhoven-minister-bowen,117.md,Yes,"Ministerial, Diplomatic, and International Engagements"
<<<<<<< HEAD
2026-05-28,Television interview - ABC Afternoon Briefing,https://www.pm.gov.au/media/television-interview-abc-afternoon-briefing-10,118.md,No,
2026-05-27,Visit to Australia by the Prime Minister of Solomon Islands,https://www.pm.gov.au/media/visit-australia-prime-minister-solomon-islands-1,119.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-27,Address to walk for truth,https://www.pm.gov.au/media/address-walk-truth,120.md,Yes,Parliamentary and Political Proceedings
2026-05-27,"Radio interview - Triple M, Sydney",https://www.pm.gov.au/media/radio-interview-triple-m-sydney-3,121.md,No,
2026-05-27,Radio interview - Nova Brisbane,https://www.pm.gov.au/media/radio-interview-nova-brisbane-1,122.md,No,
2026-05-27,Radio interview - SEN 1170 Sydney,https://www.pm.gov.au/media/radio-interview-sen-1170-sydney-0,123.md,No,
2026-05-27,Albanese Government backing Rugby League World Cup,https://www.pm.gov.au/media/albanese-government-backing-rugby-league-world-cup,124.md,No,
2026-05-25,Passing of Neale Daniher,https://www.pm.gov.au/media/passing-neale-daniher,125.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-25,"Press conference - Parliament House, Canberra",https://www.pm.gov.au/media/press-conference-parliament-house-canberra-25-may-2026,126.md,Yes,Legislative and Statutory Developments
2026-05-22,Press conference - Jervis Bay,https://www.pm.gov.au/media/press-conference-jervis-bay,127.md,No,
2026-05-22,Press conference - Wollongong,https://www.pm.gov.au/media/press-conference-wollongong,128.md,No,
2026-05-22,Opening of the Bruce Gordon Centre,https://www.pm.gov.au/media/opening-bruce-gordon-centre,129.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,"Walking forward together through science, partnership and action",https://www.csiro.au/en/news/All/Articles/2026/May/Walking-Forward-Together,130.md,Yes,Corporate and Institutional ESG Actions
2026-05-29,10 Young Indigenous Women showing up in STEM in 2026,https://www.csiro.au/en/news/All/Articles/2026/May/10-Young-Indigenous-Women-showing-up-in-STEM-in-2026,131.md,Yes,"Community, First Nations, and Social Licence Initiatives"
2026-05-28,RNA innovation to help cows thrive and agricultural pests buzz off,https://djsir.vic.gov.au/news-and-articles/rna-innovation-to-help-cows-thrive-and-agricultural-pests-buzz-off,132.md,Yes,Funding and Grant Announcements
2026-05-25,New defence manufacturing facility to boost Victoria’s sovereign capabilities,https://djsir.vic.gov.au/news-and-articles/new-defence-manufacturing-facility-to-boost-victorias-sovereign-capabilities,133.md,No,
2026-05-25,Grants announced for Regional and Remote Airport Support Program,https://www.infrastructure.gov.au/department/media/news/grants-announced-regional-and-remote-airport-support-program,134.md,Yes,Funding and Grant Announcements
2026-05-25,Community Wi-Fi helps close the digital inclusion gap,https://www.infrastructure.gov.au/department/media/news/community-wi-fi-helps-close-digital-inclusion-gap,135.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,New Zealand launches safeguard investigation on certain aluminium extrusions,https://www.wto.org/english/news_e/news26_e/safe_nzl_28may26_394_e.htm,CLEANED,NO FILE,
2026-05-27,DDG Nordquist calls for urgent action on fisheries subsidies at Monaco Blue Initiative,https://www.wto.org/english/news_e/news26_e/ddgjn_27may26_393_e.htm,137.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-27,Trade Policy Review: Japan,https://www.wto.org/english/tratop_e/tpr_e/tpr_jpn_27may26_e.htm,CLEANED,NO FILE,
2026-05-22,"Members consider Chinese request for dispute panel on solar, IT goods measures in India",https://www.wto.org/english/news_e/news26_e/dsb_22may26_390_e.htm,CLEANED,NO FILE,
2026-05-29,Proposed variation to road transport contractual chain order – fuel costs,https://www.fwc.gov.au/about-us/news-and-media/news/proposed-variation-road-transport-contractual-chain-order-fuel-costs,140.md,Yes,Consultation and Policy Design Opportunities
2026-05-29,General Manager statement about changes at the Commission,https://www.fwc.gov.au/about-us/news-and-media/news/general-manager-statement-about-changes-commission,141.md,No,
2026-05-28,Annual Wage Review 2026 decision to be live streamed,https://www.fwc.gov.au/about-us/news-and-media/news/annual-wage-review-2026-decision-be-live-streamed,CLEANED,NO FILE,
2026-05-22,General Manager Statement: Appointment of new CFMEU Administrator,https://www.fwc.gov.au/about-us/news-and-media/news/general-manager-statement-appointment-new-cfmeu-administrator,143.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-25,Climate modellers are crucial. Here's what's at stake with reduced funding,https://iceds.anu.edu.au/news-events/news/climate-modellers-are-crucial-heres-whats-stake-reduced-funding,144.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-26,New US$9.8 million initiative to boost climate resilience through Ethiopia’s Green Legacy,https://www.unep.org/news-and-stories/press-release/new-us98-million-initiative-boost-climate-resilience-through,145.md,Yes,Funding and Grant Announcements
2026-05-27,CEFC recognised as Responsible Investment Leader,https://www.cefc.com.au/media/in-the-news/cefc-recognised-as-responsible-investment-leader/,146.md,Yes,Corporate and Institutional ESG Actions
2026-05-28,Senate Select Committee inquiry to tax changes is a welcome development,https://www.australianindustrygroup.com.au/news/media-centre/2026/senate-select-committee-inquiry-to-tax-changes-is-a-welcome-development/,147.md,Yes,Legislative and Statutory Developments
2026-05-26,Opinion: Change course on CGT now to avoid greater costs,https://www.australianindustrygroup.com.au/news/speeches-transcripts/2026/opinion-change-course-on-cgt-now-to-avoid-greater-costs/,CLEANED,NO FILE,
2026-05-22,Applications are open for the 2026 First Nations Exporter Award,https://www.indigenous.gov.au/news/applications-are-open-2026-first-nations-exporter-award,149.md,Yes,Funding and Grant Announcements
2026-05-29,NIAA launches its Stretch Reconciliation Action Plan 2026-2029,https://www.niaa.gov.au/news-and-media/niaa-launches-its-stretch-reconciliation-action-plan-2026-2029,150.md,Yes,Corporate and Institutional ESG Actions
2026-05-29,APRA imposes additional licence conditions on HTFS Nominees Pty Limited,https://www.apra.gov.au/news-and-publications/apra-imposes-additional-licence-conditions-on-htfs-nominees-pty-limited,151.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-29,APRA releases Monthly Authorised Deposit-taking Institution Statistics for April 2026,https://www.apra.gov.au/news-and-publications/apra-releases-monthly-authorised-deposit-taking-institution-statistics-for-72,152.md,No,
2026-05-29,APRA releases quarterly insurance statistics for March 2026,https://www.apra.gov.au/news-and-publications/apra-releases-quarterly-insurance-statistics-for-march-2026,153.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,APRA maintains current macroprudential policy settings in highly uncertain environment,https://www.apra.gov.au/news-and-publications/apra-maintains-current-macroprudential-policy-settings-highly-uncertain,154.md,Yes,Legislative and Statutory Developments
2026-05-28,APRA releases superannuation statistics for March 2026,https://www.apra.gov.au/news-and-publications/apra-releases-superannuation-statistics-for-march-2026,155.md,No,
2026-05-27,APRA publishes Jane Magill's remarks to the 2026 All Actuaries Summit,https://www.apra.gov.au/news-and-publications/apra-publishes-jane-magills-remarks-to-2026-all-actuaries-summit,156.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-27,APRA formalises three-tiered approach to proportionality in banking prudential framework,https://www.apra.gov.au/news-and-publications/apra-formalises-three-tiered-approach-to-proportionality-banking-prudential,157.md,Yes,Legislative and Statutory Developments
2026-05-22,APRA and ASIC release notes on life insurance CEO roundtable – April 2026,https://www.apra.gov.au/news-and-publications/apra-and-asic-release-notes-on-life-insurance-ceo-roundtable-april-2026,158.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-22,APRA finalises class exemption for approval to own or control an RSE licensee,https://www.apra.gov.au/news-and-publications/apra-finalises-class-exemption-for-approval-to-own-or-control-an-rse-licensee,159.md,Yes,Legislative and Statutory Developments
2026-05-25,Operators trained to keep eyes on the Reef,https://www2.gbrmpa.gov.au/news/operators-trained-keep-eyes-reef,160.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-28,Second Nature Repair Market project registered,https://cer.gov.au/news-and-media/news/2026/may/second-nature-repair-market-project-registered,161.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-29,Why do dam repairs often fail?,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/why-do-dam-repairs-often-fail,162.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,Locust alert. Report activity now,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/locust-alert.-report-activity-now,163.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-26,Varroa mite chemical resistance in Victoria,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/varroa-mite-chemical-resistance-in-victoria,164.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-26,Twin lamb disease,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/twin-lamb-disease,165.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-25,To clean or not to clean? Managing dam sediment,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/to-clean-or-not-to-clean-managing-dam-sediment,166.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-25,Know the rules when spraying with drones,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/know-the-rules-when-spraying-with-drones,167.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-28,Navigating the dry times and ongoing conservation management,https://www.nsw.gov.au/departments-and-agencies/dcceew/nsw-biodiversity-conservation-trust/news/dry-conditions,168.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-22,National Biodiversity Day: Private Landholders deliver conservation win,https://www.nsw.gov.au/ministerial-releases/impact-report,169.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,More Productive Trees On Farms To Benefit Landowners,https://www.premier.vic.gov.au/more-productive-trees-farms-benefit-landowners,170.md,Yes,Funding and Grant Announcements
2026-05-29,More Green Space For Families In Flemington,https://www.premier.vic.gov.au/more-green-space-families-flemington,171.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,Spectacular Melbourne Show To Honour Living Legend,https://www.premier.vic.gov.au/spectacular-melbourne-show-honour-living-legend,172.md,No,
2026-05-29,Cutting Power Bills With $11 Billion In Renewables,https://www.premier.vic.gov.au/cutting-power-bills-11-billion-renewables,173.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,Liberal And National Cuts Coming To Regional Victoria,https://www.premier.vic.gov.au/liberal-and-national-cuts-coming-regional-victoria,174.md,Yes,Parliamentary and Political Proceedings
2026-05-29,"Delivering Better, Faster Specialist Care Across Victoria",https://www.premier.vic.gov.au/delivering-better-faster-specialist-care-across-victoria,175.md,Yes,Legislative and Statutory Developments
2026-05-28,Breathing New Life Into Local Sports Facilities,https://www.premier.vic.gov.au/breathing-new-life-local-sports-facilities,176.md,Yes,Funding and Grant Announcements
2026-05-28,Supporting Local Sports Clubs With New Facilities,https://www.premier.vic.gov.au/supporting-local-sports-clubs-new-facilities,177.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,Hundreds Of Improvements In Our Tiny Towns,https://www.premier.vic.gov.au/hundreds-improvements-our-tiny-towns,178.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,Cynata Therapeutics is developing new cell therapies to treat chronic disease and acute conditions,https://www.industry.gov.au/news/cynata-therapeutics-developing-new-cell-therapies-treat-chronic-disease-and-acute-conditions,179.md,Yes,Funding and Grant Announcements
2026-05-25,Domestic Gas Reservation Scheme draft design framework: have your say,https://www.industry.gov.au/news/domestic-gas-reservation-scheme-draft-design-framework-have-your-say,180.md,Yes,Consultation and Policy Design Opportunities
