Date,Title,URL,md_file,ESG_or_not,Story_Type,Jurisdiction
2026-03-05,New World Bank Group Financing Supports Angola’s Economic Reforms to Promote Inclusive Growth and Job Creation,http://www.worldbank.org/en/news/press-release/2026/03/06/new-world-bank-group-financing-supports-angola-s-economic-reforms-to-promote-inclusive-growth-and-job-creation,147.md,Yes,Funding and Grant Announcements,International
2026-03-04,Tunisia Scales Up Urban Flood Protection Efforts with World Bank Support,http://www.worldbank.org/en/news/press-release/2026/03/04/tunisia-scales-up-urban-flood-protection-efforts-with-world-bank-support,148.md,Yes,Funding and Grant Announcements,International
2026-03-03,Ethiopia: A New Phase of Support for Safety Nets will Foster Resilience and Create Pathways to Decent Jobs,http://www.worldbank.org/en/news/press-release/2026/03/03/ethiopia-a-new-phase-of-support-for-safety-nets-will-foster-resilience-and-create-pathways-to-decent-jobs,149.md,Yes,Funding and Grant Announcements,International
2026-03-03,Export Finance Australia and Standard Chartered partner to expand finance for Australian exporters,https://www.exportfinance.gov.au/newsroom/export-finance-australia-and-standard-chartered-partner-to-expand-finance-for-australian-exporters/,150.md,No,,
2026-03-04,Economic recovery is welcome but rebalancing still needed,https://www.australianindustrygroup.com.au/news/media-centre/2026/economic-recovery-is-welcome-but-rebalancing-still-needed/,151.md,No,,
2026-03-03,Innes Willox statement on WGEA gender pay gaps,https://www.australianindustrygroup.com.au/news/media-centre/2026/innes-willox-statement-on-wgea-gender-pay-gaps/,152.md,No,,
2026-03-03,WFH legislation will cost Victoria,https://www.australianindustrygroup.com.au/news/media-centre/2026/wfh-legislation-will-cost-victoria/,153.md,Yes,Legislative and Statutory Developments,Victoria
2026-03-03,APRA statement on gender pay gap,https://www.apra.gov.au/news-and-publications/apra-statement-on-gender-pay-gap,154.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-02,APRA revokes Bank of Nova Scotia’s authorised deposit-taking institution licence,https://www.apra.gov.au/news-and-publications/apra-revokes-bank-of-nova-scotia%E2%80%99s-authorised-deposit-taking-institution,155.md,Yes,"Compliance, Oversight, and Enforcement Actions",National
2026-03-09,"Why data centre energy use is just scratching the surface AI expert Luis Gonzalez sees a future where energy equals intelligence, but if Australia is to be an AI hub without coal, our policy settings need to change",https://theenergy.co/article/why-data-centre-energy-use-is-just-scratching-the-surface,156.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-09,"How big can batteries get? Why safety, not chemistry, sets the limit As the size of batteries becomes grid-scale, the lack of mandatory, nationally harmonised safety standards needs to be addressed",https://theenergy.co/article/how-big-can-batteries-get,157.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-06,Call for rethink on retail energy comparison tools The Energy Made Easy site may be in for a funding boost but some say a lot more is needed to inform consumers as energy products evolve,https://theenergy.co/article/call-for-rethink-on-retail-energy-comparison-tools,158.md,Yes,Funding and Grant Announcements,National
2026-03-06,Australian LNG not the answer to missing Qatari supply Will the Middle East conflict provide an opportunity for Australian LNG producers to step up in place of QatarEnergy?,https://theenergy.co/article/lng,159.md,No,,
2026-03-06,New South Wales races to plug storage gap The Energy Security Corporation is talking to battery developers to finance the next slate of battery projects to shore up the grid's post-Eraring future,https://theenergy.co/article/new-south-wales-races-to-plug-storage-gap,160.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",NSW
2026-03-05,Time to give up on VPPs?,https://theenergy.co/article/time-to-give-up-on-vpps,161.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-04,WA clocks six months of majority renewables Near miss for the NEM over spring and summer,https://theenergy.co/article/wa-clocks-six-months-of-majority-renewables,162.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-04,Developers view government offtakes with rose coloured glasses Project developers say the void that erstwhile long-term state government power purchase agreements left has not fully been filled by the Capacity Investment Scheme,https://theenergy.co/article/developers-view-government-off-takes-with-rose-coloured-glasses,163.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-03,Renewables investment outpacing net zero requirements,https://theenergy.co/article/renewables-investment-is-outpacing-net-zero-requirements,164.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-03,AER questions higher fixed charges assumptions,https://theenergy.co/article/aer-questions-higher-fixed-charges-assumptions,165.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-05,Update on Norfolk Island air freight arrangements,https://www.infrastructure.gov.au/department/media/news/update-norfolk-island-air-freight-arrangements-0,166.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",National
2026-03-06,Status of Women Report Card,https://www.pmc.gov.au/news/status-women-report-card,167.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-04,Identity verification made simpler for scheme participants,https://cer.gov.au/news-and-media/news/2026/march/identity-verification-made-simpler-scheme-participants,168.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-02,New solar battery photo requirements now in place,https://cer.gov.au/news-and-media/news/2026/march/new-solar-battery-photo-requirements-now-place,169.md,Yes,"Compliance, Oversight, and Enforcement Actions",National
2026-03-08,Design contract signals decisive step in Henderson Defence Precinct consolidation,https://www.minister.defence.gov.au/media-releases/2026-03-08/design-contract-signals-decisive-step-henderson-defence-precinct-consolidation,170.md,No,,
2026-03-04,Parliament passes legislation to establish Defence committee,https://www.minister.defence.gov.au/media-releases/2026-03-04/parliament-passes-legislation-establish-defence-committee,171.md,Yes,Legislative and Statutory Developments,National
2026-03-02,Product of Concern Summit for Collins class sustainment,https://www.minister.defence.gov.au/media-releases/2026-03-02/product-concern-summit-collins-class-sustainment,172.md,No,,
2026-03-06,New grant funding open for industry-led research collaborations,https://www.industry.gov.au/news/new-grant-funding-open-industry-led-research-collaborations,173.md,No,,
2026-03-06,$53 million in grants to help create a critical metal refining industry,https://www.industry.gov.au/news/53-million-grants-help-create-critical-metal-refining-industry,174.md,Yes,Funding and Grant Announcements,National
2026-03-05,Australia and Canada agree to strengthen cooperation on AI safety,https://www.industry.gov.au/news/australia-and-canada-agree-strengthen-cooperation-ai-safety,175.md,Yes,"Ministerial, Diplomatic, and International Engagements",National
2026-03-03,Four new major projects to strengthen Australia’s supply chains,https://www.industry.gov.au/news/four-new-major-projects-strengthen-australias-supply-chains,176.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",National
2026-03-03,George Medicines designs a ‘triple pill’ to better manage hypertension,https://www.industry.gov.au/news/george-medicines-designs-triple-pill-better-manage-hypertension,177.md,Yes,Funding and Grant Announcements,National
2026-03-02,Launch your STEM career as a graduate in 2027,https://www.industry.gov.au/news/launch-your-stem-career-graduate-2027,178.md,No,,
2026-03-02,Fuel pump audit will ensure you get what you pay for at the bowser,https://www.industry.gov.au/news/fuel-pump-audit-will-ensure-you-get-what-you-pay-bowser,179.md,Yes,"Compliance, Oversight, and Enforcement Actions",National
2026-03-09,New Indigenous Healing Service for FDV impacted youth in Midland,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-Indigenous-Healing-Service-for-FDV-impacted-youth-in-Midland--20260309,180.md,Yes,Funding and Grant Announcements,Western Australia
2026-03-08,Walk trail to acknowledge remarkable women at Fremantle Cemetery,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Walk-trail-to-acknowledge-remarkable-women-at-Fremantle-Cemetery-20260308,181.md,Yes,Consultation and Policy Design Opportunities,Western Australia
2026-03-07,$1 million in grants for WA research program to boost 'water smart' farms,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/$1-million-in-grants-for-WA-research-program-to-boost-'water-smart'-farms--20260307,182.md,Yes,Funding and Grant Announcements,Western Australia
2026-03-07,$5.5 million in Marine Rescue vessel upgrades delivered,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/$5.5-million-in-Marine-Rescue-vessel-upgrades-delivered-20260307,183.md,No,,
2026-03-07,WA tourism operators bring home gold at national awards,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/WA-tourism-operators-bring-home-gold-at-national-awards-20260307,184.md,No,,
2026-03-06,World's fastest track cyclists race into Perth,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/World's-fastest-track-cyclists-race-into-Perth-20260306,185.md,Yes,State and Local Government Programs,Western Australia
2026-03-06,Perth crowds help AFC Women's Asian Cup break attendance record,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Perth-crowds-help-AFC-Women's-Asian-Cup-break-attendance-record--20260306,186.md,Yes,State and Local Government Programs,Western Australia
2026-03-06,Purpose-built paediatric therapy centre opens in Kalgoorlie-Boulder,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Purpose-built-paediatric-therapy-centre-opens-in-Kalgoorlie-Boulder-20260306,187.md,Yes,Funding and Grant Announcements,Western Australia
2026-03-06,A free pass to adventures for WA foster and family carers,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/A-free-pass-to-adventures-for-WA-foster-and-family-carers-20260306,188.md,Yes,State and Local Government Programs,Western Australia
2026-03-06,Kimberley's unique landscape primed for bike riding opportunities,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Kimberley's-unique-landscape-primed-for-bike-riding-opportunities--20260306,189.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Western Australia
2026-03-06,Joint media statement - New interchange to support Pilbara's clean energy future,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Joint-media-statement---New-interchange-to-support-Pilbara's-clean-energy-future-20260306,190.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Western Australia
2026-03-06,WA is Stronger Together on International Women's Day,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/WA-is-Stronger-Together-on-International-Women's-Day-20260306,191.md,Yes,Funding and Grant Announcements,Western Australia
2026-03-06,Cottesloe comes alive with return of Sculpture by the Sea,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cottesloe-comes-alive-with-return-of-Sculpture-by-the-Sea--20260306,192.md,No,,
2026-03-06,Tenders awarded to enhance care at Sir Charles Gairdner Hospital,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Tenders-awarded-to-enhance-care-at-Sir-Charles-Gairdner-Hospital-20260306,193.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Western Australia
2026-03-06,Community Housing Provider appointed to manage former Fraser Suites complex,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Community-Housing-Provider-appointed-to-manage-former-Fraser-Suites-complex-20260306,194.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Western Australia
2026-03-05,Western Australian agrifood and beverage businesses participating in North Asia trade events,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Western-Australian-agrifood-and-beverage-businesses-participating-in-North-Asia-trade-events-20260305,195.md,No,,
2026-03-05,Western Australia welcomes the Qantas Australian Tourism Awards,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Western-Australia-welcomes-the-Qantas-Australian-Tourism-Awards-20260305,196.md,No,,
2026-03-05,New concert series arrives at METRONET stations,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-concert-series-arrives-at-METRONET-stations-20260305,197.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Western Australia
2026-03-05,$94 million Roebourne District High School redevelopment complete,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/$94-million-Roebourne-District-High-School-redevelopment-complete-20260305,198.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Western Australia
2026-03-05,Grains genetic research alliance celebrates a decade of success,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Grains-genetic-research-alliance-celebrates-a-decade-of-success-20260305,199.md,Yes,Funding and Grant Announcements,Western Australia
2026-03-02,Building Women’s Careers marks one year of impact across Australia,https://www.dewr.gov.au/newsroom/articles/building-womens-careers-marks-one-year-impact-across-australia,200.md,Yes,Funding and Grant Announcements,National
2026-03-09,Fast-Tracking Hundreds Of New Homes In A Sweet Location,https://www.premier.vic.gov.au/fast-tracking-hundreds-new-homes-sweet-location,201.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Victoria
2026-03-08,Violence Reduction Unit Deploying In Mernda,https://www.premier.vic.gov.au/violence-reduction-unit-deploying-mernda,202.md,Yes,Legislative and Statutory Developments,Victoria
2026-03-08,Record-Breaking F1 Hits Full Throttle,https://www.premier.vic.gov.au/record-breaking-f1-hits-full-throttle,203.md,Yes,Parliamentary and Political Proceedings,Victoria
2026-03-07,More Free Pads And Tampons To Save Time And Money,https://www.premier.vic.gov.au/more-free-pads-and-tampons-save-time-and-money,204.md,Yes,Funding and Grant Announcements,Victoria
2026-03-06,Tones And I Show To Boost Bushfire Recovery Efforts,https://www.premier.vic.gov.au/tones-and-i-show-boost-bushfire-recovery-efforts,205.md,Yes,Funding and Grant Announcements,Victoria
2026-03-06,Cost Of Living Support And A Growing Economy,https://www.premier.vic.gov.au/cost-living-support-and-growing-economy,206.md,Yes,"Reports, Data Releases, and Analytical Insights",Victoria
2026-03-06,Let There Be Light – Bendigo Netball Receives New Lighting,https://www.premier.vic.gov.au/let-there-be-light-bendigo-netball-receives-new-lighting,207.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Victoria
2026-03-06,Get The Pill At Your Local Chemist Without A Script,https://www.premier.vic.gov.au/get-pill-your-local-chemist-without-script,208.md,Yes,Consultation and Policy Design Opportunities,Victoria
2026-03-05,Supercars To Rev Up F1 Grand Prix For Years To Come,https://www.premier.vic.gov.au/supercars-rev-f1-grand-prix-years-come,209.md,No,,
2026-03-06,NSW Government Gives $20 Million Boost to Innovative Small Business,https://www.chiefscientist.nsw.gov.au/news/nsw-government-gives-$20-million-boost-to-innovative-small-business,210.md,Yes,Funding and Grant Announcements,NSW
2026-03-05,AEMO publishes ECMC governance review submission,https://www.aemo.com.au/newsroom/news-updates/aemo-publishes-ecmc-governance-review-submission,211.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-09,Next steps for Wild Fallow Deer Management,https://www.premier.tas.gov.au/latest-news/2026/march/next-steps-for-wild-fallow-deer-management,212.md,Yes,Consultation and Policy Design Opportunities,Tasmania
2026-03-09,Helping Tasmanians to be work-ready,https://www.premier.tas.gov.au/latest-news/2026/march/helping-tasmanians-to-be-work-ready-,213.md,Yes,Funding and Grant Announcements,Tasmania
2026-03-09,Taking action to reform ‘good character’ references,https://www.premier.tas.gov.au/latest-news/2026/march/taking-action-to-reform-good-character-references,214.md,Yes,Legislative and Statutory Developments,Tasmania
2026-03-08,Seven hundred tonnes of gantry coming together,https://www.premier.tas.gov.au/latest-news/2026/march/seven-hundred-tonnes-of-gantry-coming-together,215.md,No,,
2026-03-08,Agriculture Strategy consultation report released,https://www.premier.tas.gov.au/latest-news/2026/march/agriculture-strategy-consultation-report-released,216.md,Yes,Consultation and Policy Design Opportunities,Tasmania
2026-03-08,Growing local government collaboration,https://www.premier.tas.gov.au/latest-news/2026/march/growing-local-government-collaboration,217.md,Yes,Consultation and Policy Design Opportunities,Tasmania
2026-03-08,Granny flats to expand,https://www.premier.tas.gov.au/latest-news/2026/march/granny-flats-to-expand,218.md,Yes,Legislative and Statutory Developments,Tasmania
2026-03-07,Long Course Swimming Championships making waves,https://www.premier.tas.gov.au/latest-news/2026/march/long-course-swimming-championships-making-waves,219.md,Yes,Funding and Grant Announcements,Tasmania
2026-03-07,Tasmania’s infrastructure pipeline nearing $40 billion,https://www.premier.tas.gov.au/latest-news/2026/march/tasmanias-infrastructure-pipeline-nearing-$40-billion,220.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Tasmania
2026-03-07,New Northern Tasmania sport and recreation hub ready to open,https://www.premier.tas.gov.au/latest-news/2026/march/new-northern-tasmania-sport-and-recreation-hub-ready-to-open,221.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Tasmania
2026-03-07,Tasmania shines at Australian Tourism Awards,https://www.premier.tas.gov.au/latest-news/2026/march/tasmania-shines-at-australian-tourism-awards,222.md,No,,
2026-03-07,New proposal on the table for teachers,https://www.premier.tas.gov.au/latest-news/2026/march/new-proposal-on-the-table-for-teachers,223.md,Yes,Consultation and Policy Design Opportunities,Tasmania
2026-03-06,Australia and Canada partner on safe and trustworthy AI,https://www.minister.industry.gov.au/ministers/charlton/media-releases/australia-and-canada-partner-safe-and-trustworthy-ai,224.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-06,Australia and Canada partner on safe and trustworthy AI,https://www.minister.industry.gov.au/ministers/timayres/media-releases/australia-and-canada-partner-safe-and-trustworthy-ai,225.md,No,,
2026-03-06,Australia invests $53 million to help unlock the critical minerals of the future,https://www.minister.industry.gov.au/ministers/timayres/media-releases/australia-invests-53-million-help-unlock-critical-minerals-future,226.md,Yes,Funding and Grant Announcements,National
2026-03-06,Australia invests $53 million to help unlock the critical minerals of the future,https://www.minister.industry.gov.au/ministers/king/media-releases/australia-invests-53-million-help-unlock-critical-minerals-future,227.md,No,,
2026-03-02,Stocktake reinforces Australia's strength in critical minerals,https://www.minister.industry.gov.au/ministers/king/media-releases/stocktake-reinforces-australias-strength-critical-minerals,228.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-03,"Novus on Victoria, Chatswood Build-To-Rent approved subject to conditions",https://www.ipcn.nsw.gov.au/news/novus-victoria-chatswood-build-rent-approved-subject-conditions,229.md,No,,
2026-03-09,Funding for Australian-first alliance boosting access to life-saving clinical cancer trials,https://www.nsw.gov.au/ministerial-releases/funding-for-australian-first-alliance-boosting-access-to-life-saving-clinical-cancer-trials,230.md,Yes,Funding and Grant Announcements,NSW
2026-03-09,$16 million boost to flood-proof central coast and mid north coast national park roads,https://www.nsw.gov.au/ministerial-releases/16-million-boost-to-flood-proof-central-coast-and-mid-north-coast-national-park-roads,231.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",NSW
2026-03-09,"Virtual support service delivers safer, more efficient care for WNSWLHD patients",https://www.nsw.gov.au/ministerial-releases/virtual-support-service-delivers-safer-more-efficient-care-for-wnswlhd-patients,232.md,Yes,"Reports, Data Releases, and Analytical Insights",NSW
2026-03-09,Innovative green hydrogen and ammonia project to cut emissions for Moree farms,https://www.nsw.gov.au/ministerial-releases/innovative-green-hydrogen-and-ammonia-project-to-cut-emissions-for-moree-farms,233.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",NSW
2026-03-09,Treasurer attends super investment summit,https://www.nsw.gov.au/ministerial-releases/treasurer-attends-super-investment-summit,234.md,Yes,"Ministerial, Diplomatic, and International Engagements",NSW
2026-03-09,Billion-dollar distribution centre approval a first for Aerotropolis,https://www.nsw.gov.au/ministerial-releases/billion-dollar-distribution-centre-approval-a-first-for-aerotropolis,235.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",NSW
2026-03-09,"Built, finished, opening: toll-free M12 Motorway goes live on Saturday, 14 march",https://www.nsw.gov.au/ministerial-releases/built-finished-opening-toll-free-m12-motorway-goes-live-on-saturday-14-march,236.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",NSW
2026-03-09,Women’s Asian Cup highlights $275 million impact of sports tourism on NSW visitor economy,https://www.nsw.gov.au/departments-and-agencies/dciths/ministerial-media-releases/womens-asian-cup-highlights-275-million-impact-of-sports-tourism-on-nsw-visitor-economy,237.md,No,,
2026-03-09,Minns Labor Government to move on stronger protections for retail workers,https://www.nsw.gov.au/ministerial-releases/minns-labor-government-to-move-on-stronger-protections-for-retail-workers,238.md,Yes,Consultation and Policy Design Opportunities,NSW
2026-03-09,$50 million for building thriving regional communities,https://www.nsw.gov.au/ministerial-releases/50-million-for-building-thriving-regional-communities,239.md,Yes,Funding and Grant Announcements,NSW
2026-03-03,Joint media release: Canberra's third community battery powers up,https://minister.dcceew.gov.au/bowen/media-releases/joint-media-release-canberras-third-community-battery-powers,240.md,Yes,Funding and Grant Announcements,Australian Capital Territory
2026-03-02,Joint media release: Clean energy apprentices delivering our renewable future,https://minister.dcceew.gov.au/bowen/media-releases/joint-media-release-clean-energy-apprentices-delivering-our-renewable-future,241.md,Yes,Funding and Grant Announcements,National
2026-03-06,ASIC files Court action to wind up Liberty Bell Bay after failures to lodge financial reports,https://www.asic.gov.au/about-asic/news-centre/find-a-media-release/2026-releases/26-041mr-asic-files-court-action-to-wind-up-liberty-bell-bay-after-failures-to-lodge-financial-reports/,242.md,Yes,"Compliance, Oversight, and Enforcement Actions",National
2026-03-06,Getting ready for Airport Rail,https://bigbuild.vic.gov.au/news/melbourne-airport-rail/getting-ready-for-airport-rail,243.md,No,,
2026-03-06,Newport link road to open in April,https://bigbuild.vic.gov.au/news/level-crossing-removal-project/newport-link-road-to-open-in-april,244.md,No,,
2026-03-02,Making progress in Melton,https://bigbuild.vic.gov.au/news/level-crossing-removal-project/making-progress-in-melton,245.md,No,,
2026-03-06,"Audits find State entities need to improve controls over portable assets to reduce the risk of items being misused, lost or stolen, and to strengthen cyber security measures",https://audit.wa.gov.au/wp-content/uploads/2026/03/Media-statement-Microsoft-365-and-Portable-Assets.pdf,246.md,No,,
2026-03-05,Celebrate 50 years of Werrikimbe National Park at Mooraback Cabin | Media release,https://www.environment.nsw.gov.au/news/celebrate-50-years-werrikimbe-national-park-mooraback-cabin,247.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",NSW
2026-03-05,Protect your dam with a burnt netting,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/protect-your-dam-with-a-burnt-netting,248.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",Victoria
2026-03-05,Livestock tag prices lowest in Australia,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/livestock-tag-prices-lowest-in-australia,249.md,Yes,Funding and Grant Announcements,Victoria
2026-03-04,Get shearing done to prevent animal welfare issues,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/get-shearing-done-to-prevent-animal-welfare-issues,250.md,Yes,"Compliance, Oversight, and Enforcement Actions",Victoria
2026-03-02,Victoria expands support for beekeepers,https://agriculture.vic.gov.au/about/media-centre/media-releases/2026-releases/victoria-expands-support-for-beekeepers,251.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",Victoria
2026-03-04,Securing long-term investment in Northern Australia,https://minister.infrastructure.gov.au/m-king/media-release/securing-long-term-investment-northern-australia,252.md,No,,
2026-03-05,Proposed rules to protect life support customers during outages and extreme weather events,https://www.esc.vic.gov.au/media-centre/proposed-rules-protect-life-support-customers-during-outages-and-extreme-weather-events,253.md,No,,
2026-03-04,How the SBTi is meeting India’s corporate climate momentum,https://sciencebasedtargets.org/blog/how-the-sbti-is-meeting-indias-corporate-climate-momentum,254.md,Yes,Consultation and Policy Design Opportunities,International
2026-03-03,VIDEO: How is the EU fighting illegal trade in European eel?,https://environment.ec.europa.eu/news/video-how-eu-fighting-illegal-trade-european-eel-2026-03-03_en,255.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",International
2026-03-03,PRACTICAL SUPPORT - Continued collaboration on wolf impact on small scale extensive livestock | Italy,https://environment.ec.europa.eu/news/practical-support-continued-collaboration-wolf-impact-small-scale-extensive-livestock-italy-2026-03-03_en,256.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",International
2026-03-05,FRANCESCA: seeking your views on circular solutions for the furniture industry!,https://circulareconomy.europa.eu/platform/en/news-and-events/all-news/francesca-seeking-your-views-circular-solutions-furniture-industry,257.md,Yes,Consultation and Policy Design Opportunities,International
2026-03-04,Circular bioeconomy: a report on scaling up bio-based industries,https://circulareconomy.europa.eu/platform/en/news-and-events/all-news/circular-bioeconomy-report-scaling-bio-based-industries,258.md,Yes,Funding and Grant Announcements,International
2026-03-03,Assessing the climate mitigation potential of circular economy,https://circulareconomy.europa.eu/platform/en/news-and-events/all-news/assessing-climate-mitigation-potential-circular-economy,259.md,Yes,"Reports, Data Releases, and Analytical Insights",International
2026-03-02,Applications for EU Green Week 2026 partner events are now open!,https://circulareconomy.europa.eu/platform/en/news-and-events/all-news/applications-eu-green-week-2026-partner-events-are-now-open,260.md,Yes,Funding and Grant Announcements,International
2026-03-06,Meet the small businesses heading to the Australian Tourism Awards,https://business.vic.gov.au/news-and-updates/2026/meet-the-small-businesses-heading-to-the-australian-tourism-awards,261.md,No,,
2026-03-02,Celebrating extraordinary Victorian women,https://business.vic.gov.au/news-and-updates/2026/celebrating-extraordinary-victorian-women,262.md,Yes,State and Local Government Programs,Victoria
2026-03-06,Middle East conflict,https://www.dfat.gov.au/crisis-hub/middle-east-conflict,263.md,No,,
2026-03-02,2027 Graduate Program Applications Now Open,https://www.dfat.gov.au/careers/dfat-aps-careers/graduate-program,264.md,No,,
2026-03-06,IMF Staff Concludes Visit to Gabon,https://www.imf.org/en/news/articles/2026/03/06/pr-26074-gabon-imf-staff-concludes-visit-to-gabon,265.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-05,IMF Staff Concludes Visit to Zambia,https://www.imf.org/en/news/articles/2026/03/05/pr-26073-zambia-imf-staff-concludes-visit-to-zambia,266.md,No,,
2026-03-05,IMF to Close Resident Representative Office in Suriname,https://www.imf.org/en/news/articles/2026/03/05/pr-26072-suriname-imf-to-close-resident-representative-office-in-suriname,267.md,No,,
2026-03-05,IMF Staff Concludes Visit to Kenya,https://www.imf.org/en/news/articles/2026/03/05/pr-26071-kenya-imf-staff-concludes-visit-to-kenya,268.md,No,,
2026-03-05,Shaping Asia’s Future,https://www.imf.org/en/news/articles/2026/03/05/sp030526-shaping-asias-future,269.md,No,,
2026-03-04,IMF Staff Completes 2026 Article IV Consultation to Kiribati,https://www.imf.org/en/news/articles/2026/03/04/pr26070-kiribati-imf-staff-completes-2026-article-iv-consultation-to-kiribati,270.md,Yes,"Reports, Data Releases, and Analytical Insights",International
2026-03-04,"Joint Press Release by the Ministry of Finance of Thailand, the Bank of Thailand, and the International Monetary Fund on Progress in Preparations for the 2026 Annual Meetings",https://www.imf.org/en/news/articles/2026/03/04/pr-26069-joint-pr-progress-2026-annual-meetings,271.md,No,,
2026-03-03,IMF Statement on the Middle East,https://www.imf.org/en/news/articles/2026/03/03/pr-26068-statement-on-middle-east,272.md,No,,
2026-03-06,"The next wave of LED lighting: Smarter, circular and more efficient",https://www.iea.org/commentaries/the-next-wave-of-led-lighting-smarter-circular-and-more-efficient,273.md,Yes,"Reports, Data Releases, and Analytical Insights",International
2026-03-02,"Copper prices have hit record highs, but smelters face mounting strategic pressures",https://www.iea.org/commentaries/copper-prices-have-hit-record-highs-but-smelters-face-mounting-strategic-pressures,274.md,Yes,"Reports, Data Releases, and Analytical Insights",International
2026-03-05,Meeting with Canada’s Minister of Finance and National Revenue,https://ministers.treasury.gov.au/ministers/jim-chalmers-2022/media-releases/meeting-canadas-minister-finance-and-national-revenue,275.md,No,,
2026-03-04,National Accounts – December quarter 2025,https://ministers.treasury.gov.au/ministers/jim-chalmers-2022/media-releases/national-accounts-december-quarter-2025,276.md,No,,
2026-03-04,Submission on the Australian tyre industry,https://alga.com.au/submission-on-the-australian-tyre-industry/,277.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-05,Consultation begins on options to stop family violence perpetrators accessing their victims’ super after death,https://ministers.treasury.gov.au/ministers/daniel-mulino-2025/media-releases/consultation-begins-options-stop-family-violence,278.md,Yes,Consultation and Policy Design Opportunities,National
